country,countryLabel,capital,capitalLabel,flag,popolation,surface,unicode,map,linkcount
http://www.wikidata.org/entity/Q1030,Namibia,http://www.wikidata.org/entity/Q3935,Windhoek,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Namibia.svg,2533794,825615,🇳🇦,http://commons.wikimedia.org/wiki/Special:FilePath/LocationNamibia.svg,268
http://www.wikidata.org/entity/Q1030,Namibia,http://www.wikidata.org/entity/Q3935,Windhoek,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Namibia.svg,2533794,825615,🇳🇦,http://commons.wikimedia.org/wiki/Special:FilePath/Namibia%20%28orthographic%20projection%29.svg,268
http://www.wikidata.org/entity/Q733,Paraguay,http://www.wikidata.org/entity/Q2933,Asunción,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Paraguay%20%28reverse%29.svg,6811297,406756,🇵🇾,http://commons.wikimedia.org/wiki/Special:FilePath/LocationParaguay.svg,268
http://www.wikidata.org/entity/Q733,Paraguay,http://www.wikidata.org/entity/Q2933,Asunción,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Paraguay%20%28reverse%29.svg,6811297,406756,🇵🇾,http://commons.wikimedia.org/wiki/Special:FilePath/PRY%20orthographic.svg,268
http://www.wikidata.org/entity/Q948,Tunisia,http://www.wikidata.org/entity/Q3572,Tunis,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Tunisia.svg,11565204,163610,🇹🇳,http://commons.wikimedia.org/wiki/Special:FilePath/LocationTunisia.svg,267
http://www.wikidata.org/entity/Q948,Tunisia,http://www.wikidata.org/entity/Q3572,Tunis,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Tunisia.svg,11565204,163610,🇹🇳,http://commons.wikimedia.org/wiki/Special:FilePath/Tunisia%20%28orthographic%20projection%29.svg,267
http://www.wikidata.org/entity/Q810,Jordan,http://www.wikidata.org/entity/Q3805,Amman,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Jordan.svg,10428241,89341,🇯🇴,http://commons.wikimedia.org/wiki/Special:FilePath/Jordan%20on%20the%20globe%20%28Afro-Eurasia%20centered%29.svg,267
http://www.wikidata.org/entity/Q810,Jordan,http://www.wikidata.org/entity/Q3805,Amman,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Jordan.svg,10428241,89341,🇯🇴,http://commons.wikimedia.org/wiki/Special:FilePath/LocationJordan.svg,267
http://www.wikidata.org/entity/Q822,Lebanon,http://www.wikidata.org/entity/Q3820,Beirut,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Lebanon.svg,6100075,10452,🇱🇧,http://commons.wikimedia.org/wiki/Special:FilePath/Lebanon%20%28orthographic%20projection%29.svg,266
http://www.wikidata.org/entity/Q822,Lebanon,http://www.wikidata.org/entity/Q3820,Beirut,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Lebanon.svg,6100075,10452,🇱🇧,http://commons.wikimedia.org/wiki/Special:FilePath/LocationLebanon.svg,266
http://www.wikidata.org/entity/Q863,Tajikistan,http://www.wikidata.org/entity/Q9365,Dushanbe,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Tajikistan.svg,8921343,143100,🇹🇯,http://commons.wikimedia.org/wiki/Special:FilePath/LocationTajikistan.svg,265
http://www.wikidata.org/entity/Q863,Tajikistan,http://www.wikidata.org/entity/Q9365,Dushanbe,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Tajikistan.svg,8921343,143100,🇹🇯,http://commons.wikimedia.org/wiki/Special:FilePath/Tajikistan%20%28orthographic%20projection%29.svg,265
